time,P
2023-03-27 8:50:26.9280 AM,99900.95
2023-03-27 8:50:27.8690 AM,99900.34
2023-03-27 8:50:28.8110 AM,99899.88
2023-03-27 8:50:29.7500 AM,99899.67
2023-03-27 8:50:30.6790 AM,99899.59
2023-03-27 8:50:31.6330 AM,99899.45
2023-03-27 8:50:32.5590 AM,99899.45
2023-03-27 8:50:33.5090 AM,99899.53
2023-03-27 8:50:34.4440 AM,99899.67
2023-03-27 8:50:35.3790 AM,99899.7
2023-03-27 8:50:36.3290 AM,99899.81
2023-03-27 8:50:37.2600 AM,99899.81
2023-03-27 8:50:38.1990 AM,99899.71
2023-03-27 8:50:39.1490 AM,99899.21
2023-03-27 8:50:40.0930 AM,99898.86
2023-03-27 8:50:41.0260 AM,99898.54
2023-03-27 8:50:41.9680 AM,99898.18
2023-03-27 8:50:42.9140 AM,99898.18
2023-03-27 8:50:43.8480 AM,99898.27
2023-03-27 8:50:44.7810 AM,99898.48
2023-03-27 8:50:45.7290 AM,99898.92
2023-03-27 8:50:46.6630 AM,99899.46
2023-03-27 8:50:47.6080 AM,99900.0
2023-03-27 8:50:48.5390 AM,99900.25
2023-03-27 8:50:49.4850 AM,99900.47
2023-03-27 8:50:50.4290 AM,99900.48
2023-03-27 8:50:51.3550 AM,99900.48
2023-03-27 8:50:52.2990 AM,99900.31
2023-03-27 8:50:53.2470 AM,99900.22
2023-03-27 8:50:54.1740 AM,99900.22
2023-03-27 8:50:55.1170 AM,99900.22
2023-03-27 8:50:56.0630 AM,99900.14
2023-03-27 8:50:56.9950 AM,99899.99
2023-03-27 8:50:57.9420 AM,99899.99
2023-03-27 8:50:58.8910 AM,99900.0
2023-03-27 8:50:59.8160 AM,99900.0
2023-03-27 8:51:00.7640 AM,99899.99
2023-03-27 8:51:01.7070 AM,99899.99
2023-03-27 8:51:02.6350 AM,99899.99
2023-03-27 8:51:03.5860 AM,99899.91
2023-03-27 8:51:04.5200 AM,99899.65
2023-03-27 8:51:05.4570 AM,99899.48
2023-03-27 8:51:06.3950 AM,99899.3
2023-03-27 8:51:07.3330 AM,99899.21
2023-03-27 8:51:08.2760 AM,99899.02
2023-03-27 8:51:09.2220 AM,99899.0
2023-03-27 8:51:10.1480 AM,99899.0
2023-03-27 8:51:11.0960 AM,99898.98
2023-03-27 8:51:12.0380 AM,99898.98
2023-03-27 8:51:12.9650 AM,99899.02
2023-03-27 8:51:13.9160 AM,99899.02
2023-03-27 8:51:14.8560 AM,99899.04
2023-03-27 8:51:15.7870 AM,99899.08
2023-03-27 8:51:16.7340 AM,99899.19
2023-03-27 8:51:17.6860 AM,99899.24
2023-03-27 8:51:18.6060 AM,99899.24
2023-03-27 8:51:19.5510 AM,99899.12
2023-03-27 8:51:20.5000 AM,99898.97
2023-03-27 8:51:21.4260 AM,99898.74
2023-03-27 8:51:22.3720 AM,99898.08
2023-03-27 8:51:23.3140 AM,99896.58
2023-03-27 8:51:24.2440 AM,99894.9
2023-03-27 8:51:25.1940 AM,99892.6
2023-03-27 8:51:26.1220 AM,99890.01
2023-03-27 8:51:27.0660 AM,99887.24
2023-03-27 8:51:28.0110 AM,99884.53
2023-03-27 8:51:28.9380 AM,99882.23
2023-03-27 8:51:29.8910 AM,99879.91
2023-03-27 8:51:30.8280 AM,99877.37
2023-03-27 8:51:31.7560 AM,99874.79
2023-03-27 8:51:32.7020 AM,99872.17
2023-03-27 8:51:33.6440 AM,99869.1
2023-03-27 8:51:34.5770 AM,99865.59
2023-03-27 8:51:35.5180 AM,99862.47
2023-03-27 8:51:36.4600 AM,99859.76
2023-03-27 8:51:37.3910 AM,99857.68
2023-03-27 8:51:38.3420 AM,99856.08
2023-03-27 8:51:39.2880 AM,99855.43
2023-03-27 8:51:40.2100 AM,99855.43
2023-03-27 8:51:41.1580 AM,99855.12
2023-03-27 8:51:42.1020 AM,99855.06
2023-03-27 8:51:43.0270 AM,99855.06
2023-03-27 8:51:43.9760 AM,99855.06
2023-03-27 8:51:44.9120 AM,99855.06
2023-03-27 8:51:45.8460 AM,99855.04
2023-03-27 8:51:46.7940 AM,99855.04
2023-03-27 8:51:47.7270 AM,99855.29
2023-03-27 8:51:48.6710 AM,99855.51
